HEIGHT,DIAMETER,ELEVATION,CANOPYHEIGHT
2.1,1.4,1017,10.6
2.4,1.8,1017,9.2
3.8,3.9,1017,9.2
1.6,0.7,1017,9.2
2,1.4,1017,9.2
1.3,0.3,1017,11.7
2.1,1.6,1017,9.6
4.5,5.9,1017,11.7
4.3,5.3,1017,9.6
1.2,0.5,1017,9.2
2,1.1,1017,12.7
1.5,0.5,1017,13.6
1.5,0.4,1017,13.6
16.1305285,35.6,990,16.1305285
13.7,20.1,990,17.66244256
7.2,7,990,17.66244256
5.1,6.5,990,16.1305285
4.9,5.6,990,16.1305285
7.4,9.6,990,17.66244256
7.2,7.1,990,17.66244256
11.1,15.8,990,15.90672889
3.8,5.9,990,15.7
2.9,2.7,990,15.7
1.2,0.5,990,15.7
2,1.5,990,15.90672889
4.8,6.3,990,16.1305285
4.8,6.3,990,17.66244256
5,6.5,990,17.66244256
7.1,10.7,990,14.3
13.4,15.5,990,15.2
15.7,16.6,990,16.1305285
7.8,11.9,990,15.2
9.5,14,990,13.4
9.5,13.6,990,13.3
14.5,12.6,990,16.1305285
10.6,16,990,20.00100157
15.2,18.9,990,15.7
1.4,0.4,990,20.00100157
1.5,0.8,990,20.00100157
4.4,5.3,990,15.7
2.6,3.8,990,20.00100157
1.6,1.3,990,20.00100157
2.1,1.8,990,20.00100157
3.1,3.2,990,20.00100157
2.5,2.9,990,20.00100157
3.9,4.6,990,15.7
1.6,1.2,990,20.00100157
6.6,8.1,990,15.7
3.6,4.2,990,15.7
2.2,1.6,990,15.7
1.9,1.4,990,15.7
2.3,2.4,990,15.7
1.5,1.7,990,15.7
3.4,3.3,990,15.7
15.7,22.2,990,15.7
11.3,13.8,990,15.5
6.3,7.4,990,15.5
2.9,3.6,990,15.7
9.2,12.1,990,15.5
9.6,11.3,990,15.5
5.4,5.6,990,15.5
9.8,12.3,990,15.5
1.8,1.3,990,20.00100157
3.1,3.8,990,20.00100157
2.1,1.2,990,20.00100157
2.3,1.8,990,20.00100157
3.7,3.5,990,20.00100157
2.4,2.2,990,15.7
4.4,4.3,990,15.7
3.5,3.6,990,15.7
2.6,2.5,990,20.00100157
2.1,2.9,990,20.00100157
2,1,990,15.7
2.9,3,990,15.7
1.6,1.7,990,15.7
1.7,1.1,990,15.7
2.2,1.8,990,20.00100157
2.3,2.4,990,20.00100157
3.9,4.1,990,20.00100157
1.8,1.4,990,20.00100157
11,17.7,990,20.00100157
